,Model_id,Model_name,To_state_id,To_state_name,Sex_state_id,Race_state_id,Age,Probability
207,6.0,Physical activity,39.0,Active,34.0,30.0,39.0,0.515
208,6.0,Physical activity,39.0,Active,34.0,30.0,40.0,0.515
209,6.0,Physical activity,39.0,Active,34.0,30.0,41.0,0.515
210,6.0,Physical activity,39.0,Active,34.0,30.0,42.0,0.515
211,6.0,Physical activity,39.0,Active,34.0,30.0,43.0,0.515
212,6.0,Physical activity,39.0,Active,34.0,30.0,44.0,0.515
213,6.0,Physical activity,39.0,Active,34.0,30.0,45.0,0.425
214,6.0,Physical activity,39.0,Active,34.0,30.0,46.0,0.425
215,6.0,Physical activity,39.0,Active,34.0,30.0,47.0,0.425
216,6.0,Physical activity,39.0,Active,34.0,30.0,48.0,0.425
217,6.0,Physical activity,39.0,Active,34.0,30.0,49.0,0.425
218,6.0,Physical activity,39.0,Active,34.0,30.0,50.0,0.425
219,6.0,Physical activity,39.0,Active,34.0,30.0,51.0,0.425
220,6.0,Physical activity,39.0,Active,34.0,30.0,52.0,0.425
221,6.0,Physical activity,39.0,Active,34.0,30.0,53.0,0.425
222,6.0,Physical activity,39.0,Active,34.0,30.0,54.0,0.425
223,6.0,Physical activity,39.0,Active,34.0,30.0,55.0,0.373
224,6.0,Physical activity,39.0,Active,34.0,30.0,56.0,0.373
225,6.0,Physical activity,39.0,Active,34.0,30.0,57.0,0.373
226,6.0,Physical activity,39.0,Active,34.0,30.0,58.0,0.373
227,6.0,Physical activity,39.0,Active,34.0,30.0,59.0,0.373
228,6.0,Physical activity,39.0,Active,34.0,30.0,60.0,0.373
229,6.0,Physical activity,39.0,Active,34.0,30.0,61.0,0.373
230,6.0,Physical activity,39.0,Active,34.0,30.0,62.0,0.373
231,6.0,Physical activity,39.0,Active,34.0,30.0,63.0,0.373
232,6.0,Physical activity,39.0,Active,34.0,30.0,64.0,0.373
233,6.0,Physical activity,39.0,Active,34.0,30.0,65.0,0.29100000000000004
234,6.0,Physical activity,39.0,Active,34.0,30.0,66.0,0.29100000000000004
235,6.0,Physical activity,39.0,Active,34.0,30.0,67.0,0.29100000000000004
236,6.0,Physical activity,39.0,Active,34.0,30.0,68.0,0.29100000000000004
237,6.0,Physical activity,39.0,Active,34.0,30.0,69.0,0.29100000000000004
238,6.0,Physical activity,39.0,Active,34.0,30.0,70.0,0.29100000000000004
239,6.0,Physical activity,39.0,Active,34.0,30.0,71.0,0.29100000000000004
240,6.0,Physical activity,39.0,Active,34.0,30.0,72.0,0.29100000000000004
241,6.0,Physical activity,39.0,Active,34.0,30.0,73.0,0.29100000000000004
242,6.0,Physical activity,39.0,Active,34.0,30.0,74.0,0.29100000000000004
243,6.0,Physical activity,39.0,Active,34.0,30.0,75.0,0.19399999999999998
244,6.0,Physical activity,39.0,Active,34.0,30.0,76.0,0.19399999999999998
245,6.0,Physical activity,39.0,Active,34.0,30.0,77.0,0.19399999999999998
246,6.0,Physical activity,39.0,Active,34.0,30.0,78.0,0.19399999999999998
247,6.0,Physical activity,39.0,Active,34.0,30.0,79.0,0.19399999999999998
248,6.0,Physical activity,39.0,Active,34.0,30.0,80.0,0.19399999999999998
249,6.0,Physical activity,39.0,Active,34.0,30.0,81.0,0.19399999999999998
250,6.0,Physical activity,39.0,Active,34.0,30.0,82.0,0.19399999999999998
251,6.0,Physical activity,39.0,Active,34.0,30.0,83.0,0.19399999999999998
252,6.0,Physical activity,39.0,Active,34.0,30.0,84.0,0.19399999999999998
253,6.0,Physical activity,39.0,Active,34.0,30.0,85.0,0.19399999999999998
254,6.0,Physical activity,39.0,Active,34.0,30.0,86.0,0.19399999999999998
255,6.0,Physical activity,39.0,Active,34.0,30.0,87.0,0.19399999999999998
256,6.0,Physical activity,39.0,Active,34.0,30.0,88.0,0.19399999999999998
257,6.0,Physical activity,39.0,Active,34.0,30.0,89.0,0.19399999999999998
258,6.0,Physical activity,39.0,Active,34.0,30.0,90.0,0.19399999999999998
259,6.0,Physical activity,39.0,Active,34.0,30.0,91.0,0.19399999999999998
260,6.0,Physical activity,39.0,Active,34.0,30.0,92.0,0.19399999999999998
261,6.0,Physical activity,39.0,Active,34.0,30.0,93.0,0.19399999999999998
262,6.0,Physical activity,39.0,Active,34.0,30.0,94.0,0.19399999999999998
263,6.0,Physical activity,39.0,Active,34.0,30.0,95.0,0.19399999999999998
264,6.0,Physical activity,39.0,Active,34.0,30.0,96.0,0.19399999999999998
265,6.0,Physical activity,39.0,Active,34.0,30.0,97.0,0.19399999999999998
266,6.0,Physical activity,39.0,Active,34.0,30.0,98.0,0.19399999999999998
267,6.0,Physical activity,39.0,Active,34.0,30.0,99.0,0.19399999999999998
268,6.0,Physical activity,39.0,Active,34.0,30.0,100.0,0.19399999999999998
269,6.0,Physical activity,39.0,Active,34.0,30.0,101.0,0.19399999999999998
270,6.0,Physical activity,39.0,Active,34.0,30.0,102.0,0.19399999999999998
271,6.0,Physical activity,39.0,Active,34.0,30.0,103.0,0.19399999999999998
272,6.0,Physical activity,39.0,Active,34.0,30.0,104.0,0.19399999999999998
273,6.0,Physical activity,39.0,Active,34.0,30.0,105.0,0.19399999999999998
274,6.0,Physical activity,39.0,Active,34.0,30.0,106.0,0.19399999999999998
275,6.0,Physical activity,39.0,Active,34.0,30.0,107.0,0.19399999999999998
276,6.0,Physical activity,39.0,Active,34.0,30.0,108.0,0.19399999999999998
277,6.0,Physical activity,39.0,Active,34.0,30.0,109.0,0.19399999999999998
278,6.0,Physical activity,39.0,Active,34.0,30.0,110.0,0.19399999999999998
279,6.0,Physical activity,39.0,Active,35.0,31.0,18.0,0.363
280,6.0,Physical activity,39.0,Active,35.0,31.0,19.0,0.363
281,6.0,Physical activity,39.0,Active,35.0,31.0,20.0,0.363
282,6.0,Physical activity,39.0,Active,35.0,31.0,21.0,0.363
283,6.0,Physical activity,39.0,Active,35.0,31.0,22.0,0.363
284,6.0,Physical activity,39.0,Active,35.0,31.0,23.0,0.363
285,6.0,Physical activity,39.0,Active,35.0,31.0,24.0,0.363
286,6.0,Physical activity,39.0,Active,35.0,31.0,25.0,0.37200000000000005
287,6.0,Physical activity,39.0,Active,35.0,31.0,26.0,0.37200000000000005
288,6.0,Physical activity,39.0,Active,35.0,31.0,27.0,0.37200000000000005
289,6.0,Physical activity,39.0,Active,35.0,31.0,28.0,0.37200000000000005
290,6.0,Physical activity,39.0,Active,35.0,31.0,29.0,0.37200000000000005
291,6.0,Physical activity,39.0,Active,35.0,31.0,30.0,0.37200000000000005
